name,x,y
kirchenfeldstrasse,1198791.5562764893,2601012.0157026923
kistlerweg,1198200.3864601175,2602078.369446322
klaraweg,1199549.7614551943,2601753.224994807
klawastrasse,1201632.09892985,2601948.8710909868
kleefeldstrasse,1198603.6928770924,2595995.1749740476
kleine westtangente,1199836.0827574078,2599885.5348443366
kleiner muristalden,1199317.2186502006,2601749.5737751327
klösterlistutz,1199810.5588025576,2601556.9328346997
knospenweg,1199900.8615412437,2596253.1219033552
kochergasse,1199526.314725791,2600595.7124996735
kollerweg,1199294.3765007337,2601350.2231772766
konradweg,1200584.7996761636,2599374.171425013
konsumstrasse,1199216.0191191076,2598984.7544625383
kornhausbrücke,1199976.3667336246,2600759.638229477
kornhausplatz,1199875.0824551038,2600726.7002951577
kornhausstrasse,1200197.3705605674,2600835.926033436
kornweg,1199875.0175818803,2596315.908012861
kramburgstrasse,1199085.957330083,2601652.6838264237
kramgasse,1199654.4820996262,2600881.6568374615
kreuzgasse,1199660.7788010496,2601041.3760704678
krippenstrasse,1199321.2329413467,2597871.954213231
kuhnweg,1199886.9283504477,2602177.8010164304
kursaalstrasse,1200374.60734052,2600775.8888545125
kyburgstrasse,1200609.11585823,2600755.8931857985
könizstrasse,1198830.735594355,2598460.6448199935
lagerhausweg,1198381.6625869602,2596542.6626049695
lagerweg,1200618.728563028,2600558.421110979
landhausweg,1198327.6147942746,2599542.7339933068
landoltstrasse,1198112.2935344332,2600288.2547710845
langmauerweg,1199850.2888988894,2600962.360525851
langobardenstrasse,1199360.9959289497,2597010.0352190402
laubeggstrasse,1199672.8384491522,2602102.244528974
laupenstrasse,1199582.5989443536,2599731.8336215285
le-corbusier-platz,1199526.0340251732,2595264.3896018323
lederstutz,1202061.8271550653,2600371.823561238
lentulusrain,1198805.970005149,2599188.31782669
lentulusstrasse,1198776.1611682454,2599098.3168645236
lenzweg,1198813.7636462818,2598821.5510694906
lerberstrasse,1200002.0970134358,2601468.226642387
lerchenweg,1200277.2115383858,2599366.834096981
libellenweg,1200434.2520234864,2602550.4293233366
liebeggweg,1199358.6212961716,2601617.0970153897
lilienweg,1199237.4862796594,2599227.053260214
lindenrain,1199756.57737677,2599267.397348174
lombachweg,1198627.4677781821,2602121.24280221
looslistrasse,1199589.2563711829,2596835.86162782
lorbeerstrasse,1199117.6023644018,2596227.2082097167
lorrainebrücke,1200187.6012312532,2600340.650220069
lorrainestrasse,1200689.24250018,2600471.9837416555
lorystrasse,1199334.7627441464,2598504.1148300404
luisenstrasse,1199041.2642344695,2601077.369025712
luternauweg,1198270.8572930354,2602203.0773941665
ländteweg,1199203.886734108,2600405.620270099
länggassstrasse,1200363.7215525082,2599348.7708567376
läuferplatz,1199832.8263840633,2601237.3475087183
löchligutweg,1202254.6551651217,2602322.6069592745
löchliweg,1202366.0635693078,2602197.4102055025
lötschbergweg,1198349.2398235397,2598905.894465956
maiglöggliweg,1199909.060103395,2596180.692816222
malerweg,1200083.747103021,2599886.612245673
mani-matter-stutz,1199738.2335838326,2601023.19664047
mannenriedstrasse,1198895.1068934717,2591464.097485535
manuelstrasse,1198236.527138044,2602347.2615301483
marienstrasse,1199195.8759383522,2600985.6137943044
martiweg,1198489.9641365705,2598765.6205425384
marzilistrasse,1199053.713109426,2600334.519171852
mattenenge,1199742.6638824046,2601462.457917017
mattenhofstrasse,1199144.5869446674,2599333.752496658
matterstrasse,1198260.1017273464,2602431.5281412997
matzenriedstrasse,1198141.4031199377,2593379.976625572
mauerrain,1199793.032289805,2599727.6251975726
maulbeerstrasse,1199481.1797480877,2599832.4156009806
max-daetwyler-platz,1201707.2628768827,2601942.71359945
mayweg,1198667.6831516977,2599601.583673873
meisenweg,1201003.8023416114,2600905.9830729123
melchenbühlweg,1199430.13108994,2603070.4030144145
melchiorstrasse,1200171.708065172,2596288.838169786
melchtalstrasse,1201169.682399789,2601372.940798338
merzenacker,1199261.9924489344,2603324.5450111935
messerliweg,1199923.9513744884,2596907.058253425
metzgergässchen,1199748.60996437,2600822.5020060497
mezenerweg,1200583.9585366312,2601289.330917605
militärstrasse,1200865.0690513407,2601492.437676563
mindstrasse,1198875.6459580536,2602389.4925325364
mingerstrasse,1200728.6543962597,2602054.05679203
mittelholzerstrasse,1200836.4427718634,2602929.178795472
mittelstrasse,1200484.7740054987,2599724.293157159
monbijoubrücke,1198753.2865051085,2600355.9634899762
monbijoustrasse,1198763.17490197,2599815.917807044
monreposweg,1198484.8852143125,2598912.408171205
morellweg,1198502.7135471494,2599587.9955376247
morgartenstrasse,1201382.8119882909,2601669.9066688614
morgenstrasse,1198568.5106283722,2596543.6268422063
morillonstrasse,1198215.370103534,2599732.594001961
moritzweg,1198912.5981348283,2602584.033692129
moserstrasse,1200654.6792583116,2601079.374806627
mottastrasse,1198883.813995887,2601021.344468182
muesmattstrasse,1200247.4979133755,2599213.547955703
munzingerstrasse,1198886.1842947605,2598768.718565298
murifeldweg,1198856.752095277,2602584.6162895947
muristrasse,1198990.9646586091,2602045.222014517
murtenstrasse,1199854.9569511986,2597167.9358681794
museumstrasse,1199035.090981441,2600946.846284253
mutachstrasse,1199362.1163020707,2598421.0827438943
myrtenweg,1199072.1592874448,2596142.771127664
mädergutstrasse,1198481.2473895447,2595936.3133420376
mühledorfstrasse,1199383.8632587546,2596314.724585996
mühlemattstrasse,1199015.6052983284,2599589.287563454
mühlenplatz,1199524.414537602,2601287.201633068
mülinenstrasse,1198525.3194530464,2602558.878611549
müllerstrasse,1199060.2543984521,2598147.0510029057
müngerstrasse,1199429.0588105863,2603001.494391803
münstergasse,1199595.7734541441,2600954.040428258
münsterplatz,1199568.3413785514,2600920.6647972157
münzgraben,1199513.2682811252,2600651.316017839
münzrain,1199400.1674299063,2600414.2190368134
müslinweg,1198147.0275167236,2602103.621619057
napoleonsbrücke,1199886.1465619616,2595269.6412716694
nelkenweg,1198837.1762195376,2602657.341636824
neubrückstrasse,1200999.6262656653,2599687.9088062877
neue murtenstrasse,1200138.6134377376,2596502.092840131
neufeldstrasse,1200668.5391327564,2599583.7148471503
neufeldtunnel,1201251.0506852837,2599985.934674831
neuhausweg,1199866.295795541,2596714.433500578
niederbottigenstrasse,1199123.8969606059,2594805.853597951
niederbottigenweg,1198738.7267437105,2594905.1458208743
niederfeldweg,1198420.9975071177,2592090.071284896
niederriedweg,1198406.8558628885,2592330.43123883
niesenweg,1199796.1999594872,2599275.5723524187
niggelerstrasse,1198883.0850278302,2599035.0513519724
nischenweg,1200076.332720212,2600729.5958586466
nordring,1200663.7894571999,2600612.7599102873
nordweg,1200468.0479311792,2600552.2770994594
normannenstrasse,1199440.9585014568,2596677.8249259694
nussbaumstrasse,1200336.2429941278,2602267.61114917
nydeggasse,1199713.72028579,2601468.6305669476
nydeggbrücke,1199713.72028579,2601468.6305669476
nydeggstalden,1199764.5626550955,2601350.0838791784
nägeligasse,1199803.14136004,2600598.0467150547
nünenenweg,1199269.6699571589,2602399.589259519
oberbottigenrain,1198379.3396148738,2593583.0121393623
oberbottigenweg,1198341.9035717628,2593343.3724879995
obere zollgasse,1199359.8597152012,2603392.5456971508
oberer aareggweg,1202476.7284891952,2601107.5424284255
obermattstrasse,1198470.6927789696,2596246.53608944
oberweg,1200119.9034087334,2600788.0554036233
obstbergweg,1199539.9055404204,2601700.5733777704
ochsenbeinstrasse,1199090.2793168807,2598052.339653775
olivenweg,1198916.4834724271,2596129.8446527557
optingenstrasse,1200563.1923382506,2600897.536895564
oranienburgstrasse,1200102.0237249264,2601439.099351721
ostermundigenstrasse,1200240.8094162222,2602399.0535755623
ostring,1199178.8208252485,2602384.1298092045
papiermühlestrasse,1201114.366787391,2602024.128337828
pappelweg,1200854.2391483388,2600719.1636341917
parkstrasse,1201065.593644151,2601529.8924163096
pavillonweg,1199799.709925374,2599615.5130173382
pestalozzistrasse,1198843.5937468274,2598921.7396048596
peterweg,1199003.2527651624,2596412.1893253243
pfaffensteig,1198482.2465390959,2596803.444361654
philosophenweg,1199005.7187562874,2599450.699173955
pillonweg,1201779.3458541024,2600753.485345486
platanenweg,1200707.0528894742,2600411.523671613
polygonstrasse,1201192.787730129,2600588.8293610923
postgasse,1199757.6373400618,2601280.030667571
postgasshalde,1199758.648441776,2601257.8721288466
predigergasse,1199808.4661164698,2600530.42858606
primelweg,1202261.6157413698,2600409.581681352
puffertgässli,1199129.260860058,2602947.687506874
pulverweg,1200454.6531819333,2602304.8857683674
quartiergasse,1200785.2459314337,2600577.9525700486
rabbentalstrasse,1200100.2555973358,2600752.448862523
rabbentaltreppe,1200055.4877925597,2600800.1116539137
radarstrasse,1200380.2001542482,2601496.7534590047
raineggweg,1198754.0082593246,2598491.9781214595
rainmattstrasse,1199232.4075419477,2599995.898663245
ralligweg,1200606.841244387,2599374.0372985643
ramuzstrasse,1199435.9389953066,2595215.8209929857
randweg,1200641.8605823372,2600375.739382262
rathausgasse,1199715.1692296339,2600830.5930573563
rathausplatz,1199708.553970048,2601040.05232065
rehhagstrasse,1198571.8719782482,2596154.8371543875
reichenbachstrasse,1202232.341345207,2600569.6705512484
reiterstrasse,1200293.8635551361,2601725.7446095697
rickenweg,1198590.3305350556,2598603.003431204
riedbachstrasse,1199287.470335586,2594326.652777777
riedeggweg,1198649.8056766726,2592063.3565948103
riedernrain,1199644.728125588,2594788.3762632776
riedernstrasse,1199889.768021425,2594384.033281772
riedweg,1200976.231637038,2599817.972465634
ringoltingenstrasse,1198448.5376505235,2602256.0261951983
robinsonweg,1199492.7354177518,2603353.4054623707
rodtmattstrasse,1200937.929072209,2601620.024320439
rohrweg,1198604.3414089142,2598575.891112517
rosalia-wenger-platz,1201934.1138370626,2601942.03262248
roschistrasse,1198216.5312103252,2600002.397369853
rosenbergstrasse,1199851.285411061,2601857.1349273017
rosenbühlgasse,1199649.1032665398,2599019.176064838
rosenweg,1198363.7391760538,2599696.592238863
rossfeldstrasse,1202391.8299438148,2600516.3820562777
rosshäusernstrasse,1199017.9038493729,2591858.543392762
römerweg,1200802.6101606356,2600696.921504184
rüfenachtweg,1199972.61565659,2602417.972730414
rütlistrasse,1201078.6383169394,2601359.311934197
sagerstrasse,1198300.5617019215,2602492.2129444303
sahlistrasse,1200102.9462121825,2599093.1650150605
salvisbergstrasse,1200040.0186945552,2602452.4588280376
sandrainstrasse,1198284.7411903394,2600372.222040431
schanzeneckstrasse,1199911.0240920805,2599655.9963790434
schanzenstrasse,1199739.3652392486,2599865.3641078225
scharnachtalstrasse,1198357.6005408512,2602553.529731364
scheibenrain,1201709.5208256769,2600919.48559991
scheibenstrasse,1201279.6685292062,2601058.80236427
schenkstrasse,1199333.7641664457,2598093.009117196
schermenweg,1201349.4541707998,2602719.9396995953
scheuermattweg,1198611.382401106,2599891.4819068853
scheurerstrasse,1199050.382889416,2598151.1831492474
schiferliweg,1199129.260860058,2602947.687506874
schifflaube,1199483.3020901754,2601198.1664642324
schildknechtstrasse,1198489.0710769894,2602358.2171806735
schillingstrasse,1198533.4768734302,2600729.594939844
schlossmattstrasse,1199142.073086242,2598087.822111836
schlossstrasse,1199235.3412126165,2598193.137898628
schläflirain,1200619.1722309648,2600875.9408624694
schläflistrasse,1200554.4698239106,2600885.0865757163
schlösslistrasse,1199514.1892124289,2599303.3149494333
schmiedweg,1200781.711997957,2600425.5311634713
schosshaldenstrasse,1199575.7765464692,2602090.6453695274
